DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
2014-09-18 12:00:00,2.435312033,4.304204464,3.51188755,3.360539436,3.281897545,5.5,3.427597046,119.8154526,1,0.0,0,0,0,35.18032455,1,0,0,0.0,0,48.85694504,1,34.00513458,1,0,0,29.67829323,1,0.0,0,57.6350441,1,2.989767075,21.85406494,28.16004372,89.94943237,28.22856522,87.75973511,18.90850258,82.56576538,18.80410385,69.8298111,30.98003197,30.08003235,0
2014-09-18 13:00:00,2.020437956,4.023813725,4.022638321,3.968842506,3.775842428,5.5,3.715389013,119.3497162,1,0.0,0,0,0,34.28504562,1,0,0,0.0,0,49.81498337,1,34.98991013,1,0,0,30.09930038,1,0.0,0,61.03168106,1,2.989840508,22.12369919,28.00617599,91.31669617,28.06827164,85.76869965,18.82191467,80.81196594,18.71475601,68.39517212,30.83728981,29.93729019,0
2014-09-18 14:00:00,1.657674313,3.778343439,4.561340332,4.096032619,3.876035929,5.5,3.610208035,119.7235031,1,0.0,0,0,0,35.35293961,1,0,0,0.0,0,49.78250885,1,34.07035446,1,0,0,29.66147232,1,0.0,0,61.17458344,1,2.989781618,21.90733147,27.71226311,89.20331573,27.78038979,85.54341125,18.88797379,82.43675232,18.78368378,69.86265564,30.56114578,29.66114616,0
2014-09-18 15:00:00,1.387138486,3.568635225,5.020583153,4.141133308,3.515598059,5.5,3.972944975,118.5306396,1,0.0,0,0,0,35.31994247,1,0,0,0.0,0,49.43032074,1,0.0,0,0,0,31.10481262,1,0.0,0,68.42227173,1,2.989969254,22.59697533,27.74156952,89.28966522,27.8100338,86.25251007,25.76736069,63.51716232,25.65347672,72.0116272,30.62166595,29.72166634,0
2014-09-18 16:00:00,1.186950326,3.521379709,5.145868778,4.364693165,2.926531315,5.5,4.422930717,119.1485367,1,0.0,0,0,0,0.0,0,0,0,0.0,0,49.57123947,1,0.0,0,0,0,31.18531799,1,0.0,0,62.02349091,1,2.989872217,22.24005318,28.47641754,73.67014313,28.43654251,86.60779572,25.4045639,62.4191246,25.29013443,71.3756485,30.90697098,30.00696945,0
2014-09-18 17:00:00,0.994491577,3.802035093,4.801362991,3.90056181,2.252619028,5.5,4.683432102,97.25790405,1,97.27715302,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,31.4962635,1,0.0,0,57.37128067,1,2.974891424,34.44558334,31.12705994,71.57600403,31.12705994,62.21836472,26.30586815,61.3868103,26.1893158,71.21240234,33.35405731,32.45405579,0
2014-09-18 18:00:00,1.150956988,4.243086815,4.388244629,3.054116011,1.524065852,5.393580437,4.299362183,96.86853027,1,96.88760376,1,0,0,0.0,0,0,0,0.0,0,50.60391617,1,0.0,0,0,0,0.0,0,0.0,0,74.2684021,1,2.975077391,34.65493393,29.50470161,71.98524475,29.463274,85.61263275,29.40405655,61.07461548,29.40405655,58.43603134,32.00504303,31.10504532,0
2014-09-18 19:00:00,1.271440625,4.459161282,4.006064415,3.241633654,1.761555076,5.041345596,2.722265482,98.09252167,1,98.11196136,1,0,0,0.0,0,0,0,0.0,0,50.96348572,1,37.52573776,1,0,0,0.0,0,0.0,0,67.04972076,1,2.974490881,33.99578857,29.48792267,69.31920624,29.44594765,84.87573242,25.28014183,82.65557098,25.28014183,55.50027847,31.95264053,31.05264091,0
2014-09-18 20:00:00,1.193210959,4.610570908,3.542348146,3.18038249,2.044693708,5.135779858,2.543519735,98.02254486,1,98.0419693,1,0,0,0.0,0,0,0,0.0,0,50.8949585,1,35.36295319,1,0,0,30.95312119,1,0.0,0,65.29244232,1,2.974524736,34.03355026,29.59885406,71.16469574,29.55698395,85.12446594,19.25541115,80.60072327,19.14255714,66.01250458,32.05432129,31.15431976,0
2014-09-18 21:00:00,1.131355405,4.75759697,3.161156178,3.206163883,2.322178125,5.130811214,2.092468262,98.81874084,1,98.83840179,1,0,0,0.0,0,0,0,0.0,0,51.02341461,1,34.75752258,1,0,0,30.75555229,1,0.0,0,60.93273544,1,2.974140167,33.60330963,29.65519905,66.0269928,29.61313248,84.92208099,19.04137993,81.43183136,18.92985535,66.45961761,32.09064484,31.19064522,0
2014-09-18 22:00:00,1.005367875,4.612092018,3.267740488,3.147840977,2.727826834,5.238459587,2.014354944,98.73574829,1,98.75537872,1,0,0,36.10452652,1,0,0,0.0,0,50.86048126,1,34.89278793,1,0,0,30.87941933,1,0.0,0,66.1708374,1,2.974180222,33.64821243,28.62833214,88.80056763,28.69913292,84.33581543,18.9780407,81.1370697,18.8656826,65.98197937,31.52559471,30.62559509,0
2014-09-18 23:00:00,0.899988055,4.395367622,3.748094082,2.965383768,3.035420179,5.252218246,1.703728199,98.51236725,1,98.53192902,1,0,0,36.73855209,1,0,0,0.0,0,50.83950424,1,34.92095947,1,0,0,30.91090965,1,0.0,0,68.28972626,1,2.974288464,33.76901245,28.44728279,87.48132324,28.52180672,84.20053101,19.02568436,81.13641357,18.91311264,65.92388153,31.36572266,30.46572304,0
2014-09-19 00:00:00,0.819785058,4.194498062,4.170234203,2.801152229,3.300165176,5.271157265,1.453475595,98.15414429,1,98.17359924,1,0,0,34.11238098,1,0,0,0.0,0,50.46862411,1,34.36703491,1,0,0,30.46469307,1,0.0,0,70.16192627,1,2.974461317,33.96252441,28.42272568,92.02307892,28.48288155,84.90174866,19.39302826,82.44593048,19.2834568,67.78089905,31.30328178,30.40328026,0
2014-09-19 01:00:00,0.78041172,4.045644283,4.724916458,2.913675308,3.747422695,5.5,1.962350249,97.35540771,1,97.37462616,1,0,0,34.26662445,1,0,0,0.0,0,49.15101624,1,34.16455841,1,0,0,29.29218102,1,0.0,0,73.69638824,1,2.974844933,34.39309311,28.37893295,91.72026825,28.44191742,87.42611694,20.01573372,83.40496826,19.91383553,72.15007019,31.2668705,30.36687088,0
2014-09-19 02:00:00,0.88401866,3.965557337,5.256408691,3.521416426,3.716677427,5.5,2.938544512,96.75428772,1,96.77333069,1,0,0,33.59050751,1,0,0,0.0,0,48.89249039,1,0.0,0,0,0,30.95088577,1,0.0,0,78.2671051,1,2.97513175,34.71630859,28.38105202,92.84720612,28.44069481,87.90493011,26.52077484,64.02090454,26.40794945,73.29680634,31.28108215,30.38108253,0
2014-09-19 03:00:00,1.067227602,4.212008953,5.057097435,4.138688087,3.181496143,5.5,3.757646799,96.33799744,1,96.35691833,1,0,0,0.0,0,0,0,0.0,0,49.11343002,1,0.0,0,0,0,30.11902237,1,0.0,0,74.51501465,1,2.975329638,34.93971634,29.54704666,75.73235321,29.50784874,88.55432129,26.91602707,64.12871552,26.80873871,76.42546844,32.03854752,31.1385498,0
2014-09-19 04:00:00,1.291456699,4.631618023,4.818000793,4.080973625,2.787775517,5.471065044,4.667505264,93.30180359,1,93.31983948,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,67.6007843,1,2.976750135,36.55865479,32.78227234,76.51528931,32.78227234,68.63276672,31.00951958,64.10040283,31.00951958,60.62429047,35.05791855,34.15791702,0
2014-09-19 05:00:00,1.702546239,5.343323708,4.646470547,3.219064236,2.496708632,5.219126225,3.553480148,95.1924057,1,95.21099091,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,58.13804626,1,2.975870132,35.55273438,32.72625732,74.59436035,32.72625732,64.04592133,30.45716476,62.93314362,30.45716476,59.95035172,34.95666504,34.05666733,0
2014-09-19 06:00:00,2.171609163,5.109805107,4.367917061,3.145750284,1.989424348,4.950447083,2.551823139,87.63240814,1,87.64883423,1,0,0,0.0,0,0,0,0.0,0,49.25304031,1,0.0,0,0,0,0.0,0,0.0,0,0.0,0,2.97929883,39.53121567,28.17698097,72.90167999,28.13757896,86.91901398,34.39484406,62.00917816,34.39484406,59.46455002,43.63046265,29.54709244,0
